n_count(c_not(c_primitive(connected,0)));n_count(r_transitive_reflexive_closure(r_primitive(connected,0,1)));n_count(c_or(c_primitive(visited,0),c_primitive(visited_g,0)));b_empty(c_all(r_top,c_primitive(place,0)));n_count(r_not(r_identity(c_primitive(connected,0))));b_empty(c_all(r_top,c_primitive(visited,0)));n_count(r_primitive(connected,0,1));b_inclusion(c_primitive(visited,0),c_primitive(at-robot,0));n_count(r_restrict(r_top,c_primitive(visited,0)));b_empty(c_and(c_primitive(at-robot,0),c_primitive(visited_g,0)));n_concept_distance(c_primitive(at-robot,0),r_primitive(connected_g,0,1),c_primitive(visited_g,0));n_concept_distance(c_primitive(visited,0),r_primitive(connected_g,0,1),c_primitive(visited_g,0));n_count(c_primitive(place,0));n_count(c_top);n_concept_distance(c_top,r_top,c_bot);n_count(c_diff(c_primitive(connected,0),c_primitive(visited,0)));b_inclusion(c_not(c_primitive(visited,0)),c_primitive(visited_g,0));b_empty(c_not(c_primitive(visited,0)));n_count(c_primitive(connected,0));n_count(c_not(c_primitive(visited,0)));n_count(c_diff(c_primitive(visited,0),c_primitive(at-robot,0)));n_count(r_restrict(r_top,c_primitive(place,0)));b_empty(c_all(r_primitive(connected,0,1),c_primitive(visited,0)));b_inclusion(c_primitive(place,0),c_primitive(visited,0));n_count(c_diff(c_primitive(place,0),c_primitive(at-robot,0)));b_empty(c_top);n_count(r_not(r_identity(c_primitive(place,0))));n_count(c_some(r_primitive(connected,0,1),c_primitive(visited,0)));n_count(c_all(r_primitive(connected,0,1),c_primitive(place,0)));n_count(c_some(r_primitive(connected,0,1),c_primitive(at-robot,0)));n_count(c_primitive(visited,0));n_count(c_diff(c_primitive(place,0),c_primitive(visited,0)));b_inclusion(c_primitive(visited_g,0),c_primitive(visited,0));n_count(r_not(r_identity(c_primitive(at-robot,0))));n_count(r_top);n_count(c_all(r_top,c_primitive(visited,0)));n_count(c_diff(c_primitive(visited,0),c_primitive(visited_g,0)));n_count(c_diff(c_primitive(connected,0),c_primitive(at-robot,0)));b_empty(c_bot);b_empty(c_and(c_primitive(visited,0),c_primitive(visited_g,0)));n_concept_distance(c_primitive(at-robot,0),r_primitive(connected,0,1),c_primitive(visited_g,0));n_count(r_transitive_closure(r_primitive(connected,0,1)));n_count(r_not(r_transitive_closure(r_primitive(connected,0,1))));b_empty(c_not(c_primitive(place,0)));b_inclusion(c_primitive(at-robot,0),c_primitive(visited_g,0));n_count(r_restrict(r_primitive(connected,0,1),c_primitive(place,0)));n_count(c_or(c_primitive(at-robot,0),c_primitive(visited_g,0)));n_count(r_not(r_primitive(connected,0,1)));n_count(c_some(r_primitive(connected,0,1),c_primitive(visited_g,0)));n_count(r_not(r_transitive_reflexive_closure(r_primitive(connected,0,1))));n_count(c_not(c_primitive(at-robot,0)));n_count(c_not(c_primitive(place,0)));n_count(r_restrict(r_top,c_primitive(connected,0)));n_count(r_compose(r_primitive(connected,0,1),r_primitive(connected,0,1)));n_count(c_all(r_top,c_primitive(place,0)));n_count(c_all(r_primitive(connected,0,1),c_primitive(visited,0)));n_concept_distance(c_primitive(visited,0),r_primitive(connected,0,1),c_primitive(visited_g,0));n_count(r_restrict(r_primitive(connected,0,1),c_primitive(visited,0)));n_count(r_not(r_identity(c_top)));n_count(r_not(r_identity(c_primitive(visited,0))));F_0;F_1;V*
0;625;20;0;600;1;80;0;500;1;2147483647;0;25;25;2147483647;5;0;0;25;5;19;625;0;0;24;0;600;24;25;2;20;5;1;624;625;0;19;24;1;0;7;625;0;1;0;80;2;545;3;0;24;0;625;149;25;15;0;64;600;605;0;0;0
0;625;24;0;600;1;80;0;600;1;2147483647;0;25;25;2147483647;1;0;0;25;1;23;625;0;0;24;0;600;25;25;3;24;1;1;624;625;0;23;24;1;0;4;625;0;1;0;80;2;545;3;0;24;0;625;149;25;22;0;77;600;601;0;0;0
0;625;19;0;600;1;80;0;475;1;2147483647;0;25;25;2147483647;6;0;0;25;6;18;625;0;0;24;0;600;25;25;3;19;6;1;624;625;0;18;24;1;0;5;625;0;1;0;80;2;545;3;0;24;0;625;149;25;12;0;63;600;606;0;0;0
0;625;21;0;600;1;80;0;525;1;2147483647;0;25;25;2147483647;4;0;0;25;4;20;625;0;0;24;0;600;25;25;3;21;4;1;624;625;0;20;24;1;0;6;625;0;1;0;80;2;545;3;0;24;0;625;149;25;15;0;66;600;604;0;0;0
0;625;20;0;600;1;80;0;500;1;2147483647;0;25;25;2147483647;5;0;0;25;5;19;625;0;0;24;0;600;25;25;3;20;5;1;624;625;0;19;24;1;0;4;625;0;1;0;80;2;545;3;0;24;0;625;149;25;13;0;66;600;605;0;0;0
0;625;22;0;600;1;80;0;550;1;2147483647;0;25;25;2147483647;3;0;0;25;3;21;625;0;0;24;0;600;25;25;3;22;3;1;624;625;0;21;24;1;0;4;625;0;1;0;80;2;545;3;0;24;0;625;149;25;17;0;70;600;603;0;0;0
0;625;25;0;600;0;80;0;625;1;2147483647;0;25;25;2147483647;0;1;1;25;0;24;625;0;1;24;0;600;25;25;2;25;0;1;624;625;25;24;24;1;0;3;625;0;1;0;80;2;545;3;0;24;0;625;149;25;25;0;80;600;600;0;0;0
0;625;19;0;600;1;80;0;475;1;2147483647;0;25;25;2147483647;6;0;0;25;6;18;625;0;0;24;0;600;24;25;3;19;6;1;624;625;0;18;24;1;0;5;625;0;1;0;80;2;545;3;0;24;0;625;149;25;12;0;63;600;606;0;0;0
0;625;21;0;600;1;80;0;525;1;2147483647;0;25;25;2147483647;4;0;0;25;4;20;625;0;0;24;0;600;25;25;3;21;4;1;624;625;0;20;24;1;0;4;625;0;1;0;80;2;545;3;0;24;0;625;149;25;17;0;70;600;604;0;0;0
0;625;23;0;600;1;80;0;575;1;2147483647;0;25;25;2147483647;2;0;0;25;2;22;625;0;0;24;0;600;25;25;3;23;2;1;624;625;0;22;24;1;0;6;625;0;1;0;80;2;545;3;0;24;0;625;149;25;20;0;74;600;602;0;0;0
0;625;22;0;600;1;80;0;550;1;2147483647;0;25;25;2147483647;3;0;0;25;3;21;625;0;0;24;0;600;25;25;4;22;3;1;624;625;0;21;24;1;0;2;625;0;1;0;80;2;545;3;0;24;0;625;149;25;19;0;73;600;603;0;0;0
0;625;19;0;600;1;80;0;475;1;2147483647;0;25;25;2147483647;6;0;0;25;6;18;625;0;0;24;0;600;24;25;3;19;6;1;624;625;0;18;24;1;0;1;625;0;1;0;80;2;545;3;0;24;0;625;149;25;13;0;62;600;606;0;0;0
