state;V*
frozenset({'on-table(b3)', 'clear(b1)', 'on(b1,b3)', 'holding(b2)'});-1
frozenset({'on-table(b3)', 'arm-empty()', 'on-table(b2)', 'clear(b2)', 'on-table(b1)', 'clear(b3)', 'clear(b1)'});0
frozenset({'on-table(b3)', 'arm-empty()', 'on-table(b2)', 'clear(b2)', 'on(b1,b3)', 'clear(b1)'});0
frozenset({'holding(b3)', 'on(b1,b2)', 'clear(b1)', 'on-table(b2)'});-1
frozenset({'on-table(b3)', 'on(b2,b3)', 'clear(b2)', 'holding(b1)'});-1
frozenset({'arm-empty()', 'on-table(b2)', 'on(b1,b3)', 'on(b3,b2)', 'clear(b1)'});0
frozenset({'on(b3,b1)', 'arm-empty()', 'clear(b2)', 'on-table(b1)', 'on(b2,b3)'});-4
frozenset({'arm-empty()', 'on-table(b2)', 'on-table(b1)', 'clear(b3)', 'on(b3,b2)', 'clear(b1)'});0
frozenset({'arm-empty()', 'on-table(b1)', 'clear(b3)', 'on(b3,b2)', 'on(b2,b1)'});-4
frozenset({'on(b3,b1)', 'on-table(b1)', 'clear(b3)', 'holding(b2)'});-3
frozenset({'holding(b3)', 'on-table(b1)', 'clear(b2)', 'on(b2,b1)'});-3
frozenset({'on(b3,b1)', 'arm-empty()', 'on-table(b2)', 'clear(b2)', 'on-table(b1)', 'clear(b3)'});-2
frozenset({'on-table(b3)', 'arm-empty()', 'clear(b2)', 'on-table(b1)', 'on(b2,b3)', 'clear(b1)'});0
frozenset({'on-table(b3)', 'arm-empty()', 'on-table(b2)', 'on(b1,b2)', 'clear(b3)', 'clear(b1)'});0
frozenset({'on-table(b3)', 'arm-empty()', 'clear(b2)', 'on-table(b1)', 'clear(b3)', 'on(b2,b1)'});-2
frozenset({'on-table(b3)', 'arm-empty()', 'clear(b2)', 'on(b1,b3)', 'on(b2,b1)'});-2
frozenset({'on-table(b2)', 'clear(b2)', 'on-table(b1)', 'holding(b3)', 'clear(b1)'});-1
frozenset({'on-table(b3)', 'arm-empty()', 'on(b1,b2)', 'on(b2,b3)', 'clear(b1)'});0
frozenset({'on(b3,b1)', 'arm-empty()', 'on-table(b2)', 'on(b1,b2)', 'clear(b3)'});-2
frozenset({'on(b3,b2)', 'holding(b1)', 'on-table(b2)', 'clear(b3)'});-1
frozenset({'on-table(b3)', 'on-table(b2)', 'clear(b2)', 'holding(b1)', 'clear(b3)'});-1
frozenset({'on-table(b3)', 'holding(b2)', 'on-table(b1)', 'clear(b3)', 'clear(b1)'});-1
